Speaker,Modern Thai,Thai Boran
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาข้อมูลดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาข้อมูลดู ขอบใจมากหนอ"
B,"ขอให้เธอสนุกกับการเรียนทำกาแฟและได้ชงกาแฟที่อร่อยๆ นะ","ขอให้ท่านสนุกสนานกับการศึกษาทำกาแฟและได้ชงกาแฟที่อร่อยๆ หนอ"
A,"ฉันอยากจะลองไปเที่ยวแบบผจญภัยในป่า เธอคิดว่ามันจะอันตรายไหม","ข้าอยากจักลองไปเที่ยวแบบผจญภัยในป่า ท่านคิดว่ามันจักอันตรายฤๅไม่"
B,"มันก็มีอันตรายบ้าง แต่ถ้าเธอเตรียมตัวดีและมีไกด์นำทางที่เชี่ยวชาญ ก็ไม่น่าจะมีปัญหาอะไร","มันก็มีอันตรายบ้าง แต่หากท่านเตรียมตัวดีและมีไกด์นำทางที่เชี่ยวชาญ ก็ไม่น่าจักมีปัญหาอะไร"
A,"งั้นฉันจะลองหาข้อมูลและเตรียมตัวให้ดีก่อน ขอบคุณนะ","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลและเตรียมตัวให้ดีก่อน ขอบใจหนอ"
B,"ขอให้เธอสนุกกับการผจญภัยและได้สัมผัสธรรมชาติอย่างใกล้ชิดนะ","ขอให้ท่านสนุกสนานกับการผจญภัยและได้สัมผัสธรรมชาติอย่างใกล้ชิดหนอ"
A,"ฉันอยากจะลองไปเรียนทำเครื่องดื่ม เธอมีสูตรเครื่องดื่มแนะนำไหม","ข้าอยากจักลองไปศึกษาทำเครื่องดื่ม ท่านมีสูตรเครื่องดื่มแนะนำฤๅไม่"
B,"ลองหาในอินเทอร์เน็ตดูสิ มีสูตรเครื่องดื่มมากมายเลย หรือไม่ก็ลองซื้อหนังสือทำเครื่องดื่มมาอ่านดู","จงลองหาในอินเทอร์เน็ตดูสิ มีสูตรเครื่องดื่มมากมายเลย หรือไม่ก็จงลองซื้อหนังสือทำเครื่องดื่มมาอ่านดู"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาดู ขอบใจมากหนอ"
B,"ถ้าทำแล้วก็เอามาให้ฉันชิมด้วยนะ","หากทำแล้วก็เอามาให้ข้าชิมด้วยหนา"
A,"ฉันอยากจะลองไปเที่ยวแบบพักผ่อนที่รีสอร์ทริมทะเล เธอสนใจไปด้วยกันไหม","ข้าอยากจักลองไปเที่ยวแบบพักผ่อนที่รีสอร์ทริมทะเล ท่านสนใจไปด้วยกันฤๅไม่"
B,"ฉันก็อยากพักผ่อนเหมือนกันนะ ถ้าเธอมีรีสอร์ทที่น่าสนใจ ก็บอกฉันได้เลย","เราก็อยากพักผ่อนเช่นกันหนา หากท่านมีรีสอร์ทที่น่าสนใจ ก็บอกข้าได้เลย"
A,"งั้นฉันจะลองหาข้อมูลดูนะ แล้วเรามาจองที่พักกัน","หากเป็นเช่นนั้นข้าจักลองหาข้อมูลดูหนา แล้วเรามาจองที่พักกัน"
B,"ตกลงเลย ฉันรอไปพักผ่อนกับเธออยู่นะ","ตกลงเลย ข้ารอไปพักผ่อนกับท่านอยู่นะ"
A,"ฉันอยากจะลองไปเรียนถ่ายรูป เธอมีคอร์สเรียนแนะนำไหม","ข้าอยากจักลองไปศึกษาถ่ายรูป ท่านมีคอร์สศึกษาเรียนแนะนำฤๅไม่"
B,"ลองดูสถาบันสอนถ่ายภาพที่มีชื่อเสียงไหม หรือไม่ก็ลองหาคอร์สออนไลน์ดูก็ได้นะ","จงลองดูสถาบันสอนถ่ายภาพที่มีชื่อเสียงฤๅไม่ หรือไม่ก็จงลองหาคอร์สออนไลน์ดูก็ได้หนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาข้อมูลดูนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาข้อมูลดูหนอ"
B,"ขอให้เธอสนุกกับการถ่ายภาพและได้สร้างสรรค์ภาพที่สวยงามนะ","ขอให้ท่านสนุกสนานกับการถ่ายภาพและได้สร้างสรรค์ภาพที่สวยงามหนอ"
A,"ฉันอยากจะลองไปเรียนทำอาหารมังสวิรัติ เธอมีสูตรอาหารแนะนำไหม","ข้าอยากจักลองไปศึกษาทำอาหารมังสวิรัติ ท่านมีสูตรอาหารแนะนำฤๅไม่"
B,"ลองหาในอินเทอร์เน็ตดูสิ มีสูตรอาหารมังสวิรัติมากมายเลย หรือไม่ก็ลองซื้อหนังสือทำอาหารมังสวิรัติมาอ่านดู","จงลองหาในอินเทอร์เน็ตดูสิ มีสูตรอาหารมังสวิรัติมากมายเลย หรือไม่ก็จงลองซื้อหนังสือทำอาหารมังสวิรัติมาอ่านดู"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาดู ขอบใจมากหนอ"
B,"ถ้าทำแล้วก็เอามาให้ฉันชิมด้วยนะ","หากทำแล้วก็เอามาให้ข้าชิมด้วยหนา"
A,"ฉันอยากจะลองไปเรียนทำผม เธอมีที่เรียนแนะนำไหม","ข้าอยากจักลองไปศึกษาทำผม ท่านมีที่ศึกษาเรียนแนะนำฤๅไม่"
B,"ลองดูร้านทำผมที่มีชื่อเสียงและมีคอร์สสอนไหม จะได้เรียนรู้เทคนิคต่างๆ ได้เยอะ","จงลองดูร้านทำผมที่มีชื่อเสียงและมีคอร์สสอนฤๅไม่ จะได้เรียนรู้เทคนิคต่างๆ ได้เยอะ"
A,"ขอบคุณมากเลยนะ เดี๋ยวฉันจะลองหาข้อมูลดูนะ","ขอบใจมากยิ่งนัก เดี๋ยวข้าจักลองหาข้อมูลดูหนอ"
B,"ขอให้เธอสนุกกับการเรียนทำผมและได้ทำผมให้สวยๆ นะ","ขอให้ท่านสนุกสนานกับการศึกษาทำผมและได้ทำผมให้สวยๆ หนอ"
A,"ฉันอยากจะลองไปเรียนทำสบู่ เธอมีสูตรทำสบู่แนะนำไหม","ข้าอยากจักลองไปศึกษาทำสบู่ ท่านมีสูตรทำสบู่แนะนำฤๅไม่"
B,"ลองหาในอินเทอร์เน็ตดูสิ มีสูตรทำสบู่ง่ายๆ เยอะแยะเลย หรือไม่ก็ลองซื้อหนังสือทำสบู่มาอ่านดู","จงลองหาในอินเทอร์เน็ตดูสิ มีสูตรทำสบู่ง่ายๆ เยอะแยะเลย หรือไม่ก็จงลองซื้อหนังสือทำสบู่มาอ่านดู"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาดู ขอบใจมากหนอ"
B,"ถ้าทำแล้วก็เอามาให้ฉันใช้ด้วยนะ","หากทำแล้วก็เอามาให้ข้าใช้ด้วยหนา"
A,"ฉันอยากจะลองไปเรียนทำเทียน เธอมีที่เรียนแนะนำไหม","ข้าอยากจักลองไปศึกษาทำเทียน ท่านมีที่ศึกษาเรียนแนะนำฤๅไม่"
B,"ลองดูร้านที่เขาขายเทียนหอมไหม พวกเขามักจะมีคอร์สสอนทำเทียนด้วย","จงลองดูร้านที่เขาขายเทียนหอมฤๅไม่ พวกเขามักจักมีคอร์สสอนทำเทียนด้วย"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาข้อมูลดูนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาข้อมูลดูหนอ"
B,"ขอให้เธอสนุกกับการทำเทียนและได้สร้างสรรค์เทียนที่สวยงามนะ","ขอให้ท่านสนุกสนานกับการทำเทียนและได้สร้างสรรค์เทียนที่สวยงามหนอ"
A,"ฉันอยากจะลองไปเรียนทำผ้าบาติก เธอมีที่เรียนแนะนำไหม","ข้าอยากจักลองไปศึกษาทำผ้าบาติก ท่านมีที่ศึกษาเรียนแนะนำฤๅไม่"
B,"ลองดูสถาบันสอนศิลปะไหม พวกเขามักจะมีคอร์สสอนทำผ้าบาติกด้วย","จงลองดูสถาบันสอนศิลปะฤๅไม่ พวกเขามักจักมีคอร์สสอนทำผ้าบาติกด้วย"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองไปหาข้อมูลดูนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองไปหาข้อมูลดูหนอ"
B,"ขอให้เธอสนุกกับการทำผ้าบาติกและได้สร้างสรรค์ผ้าที่สวยงามนะ","ขอให้ท่านสนุกสนานกับการทำผ้าบาติกและได้สร้างสรรค์ผ้าที่สวยงามหนอ"
A,"ฉันอยากจะลองไปเรียนทำเครื่องประดับ เธอมีที่เรียนแนะนำไหม","ข้าอยากจักลองไปศึกษาทำเครื่องประดับ ท่านมีที่ศึกษาเรียนแนะนำฤๅไม่"
B,"ลองดูร้านขายเครื่องประดับที่เขามีคอร์สสอนไหม จะได้เรียนรู้เทคนิคต่างๆ ได้เยอะ","จงลองดูร้านขายเครื่องประดับที่เขามีคอร์สสอนฤๅไม่ จะได้เรียนรู้เทคนิคต่างๆ ได้เยอะ"
A,"ขอบคุณมากเลยนะ เดี๋ยวฉันจะลองหาข้อมูลดูนะ","ขอบใจมากยิ่งนัก เดี๋ยวข้าจักลองหาข้อมูลดูหนอ"
B,"ขอให้เธอสนุกกับการทำเครื่องประดับและได้สร้างสรรค์เครื่องประดับที่สวยงามนะ","ขอให้ท่านสนุกสนานกับการทำเครื่องประดับและได้สร้างสรรค์เครื่องประดับที่สวยงามหนอ"
