Speaker,Modern Thai,Thai Boran
B,"ลองหาที่เงียบๆ อ่านหนังสือ แล้วก็พยายามอ่านทีละส่วน มันจะช่วยให้มีสมาธิในการอ่านมากขึ้นนะ","จงหาที่เงียบๆ อ่านหนังสือ แล้วก็พยายามอ่านทีละส่วน มันจักช่วยให้มีสมาธิในการอ่านมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีสมาธิในการอ่านหนังสือมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีสมาธิในการอ่านหนังสือมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีเทคนิคในการเรียนรู้เลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีเทคนิคในการศึกษาเรียนรู้เลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองหาเทคนิคการเรียนรู้ที่เหมาะกับตัวเอง แล้วก็พยายามฝึกฝนมัน มันจะช่วยให้เรามีเทคนิคในการเรียนรู้มากขึ้นนะ","จงหาเทคนิคการศึกษาเรียนรู้ที่เหมาะกับตนเอง แล้วก็พยายามฝึกฝนมัน มันจักช่วยให้เรามีเทคนิคในการศึกษาเรียนรู้มากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีเทคนิคในการเรียนรู้มากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีเทคนิคในการศึกษาเรียนรู้มากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีทักษะในการแก้ไขปัญหาเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีทักษะในการแก้ไขปัญหาเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองวิเคราะห์ปัญหาต่างๆ ดู แล้วก็พยายามหาทางออกที่เหมาะสม มันจะช่วยให้เรามีทักษะในการแก้ไขปัญหามากขึ้นนะ","จงวิเคราะห์ปัญหาต่างๆ ดู แล้วก็พยายามหาทางออกที่เหมาะสม มันจักช่วยให้เรามีทักษะในการแก้ไขปัญหามากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีทักษะในการแก้ไขปัญหามากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีทักษะในการแก้ไขปัญหามากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีไหวพริบเลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีไหวพริบเลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองสังเกตสิ่งต่างๆ รอบตัวดู แล้วก็พยายามคิดหาทางออกที่ฉับไว มันจะช่วยให้เรามีไหวพริบมากขึ้นนะ","จงสังเกตสิ่งต่างๆ รอบตัวดู แล้วก็พยายามคิดหาทางออกที่ฉับไว มันจักช่วยให้เรามีไหวพริบมากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีไหวพริบมากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีไหวพริบมากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
A,"ฉันรู้สึกว่าตัวเองไม่ค่อยมีวิสัยทัศน์เลย เธอพอจะมีวิธีช่วยไหม","ข้ารู้สึกว่าตนเองไม่ค่อยมีวิสัยทัศน์เลย ท่านพอมีวิธีช่วยฤๅไม่"
B,"ลองมองหาโอกาสใหม่ๆ ดู แล้วก็พยายามคิดว่าเราจะไปในทิศทางใด มันจะช่วยให้เรามีวิสัยทัศน์มากขึ้นนะ","จงมองหาโอกาสใหม่ๆ ดู แล้วก็พยายามคิดว่าเราจักไปในทิศทางใด มันจักช่วยให้เรามีวิสัยทัศน์มากขึ้นหนา"
A,"ก็น่าสนใจนะ เดี๋ยวฉันจะลองทำดู ขอบคุณมากนะ","ก็น่าสนใจหนา เดี๋ยวข้าจักลองทำดู ขอบใจมากหนอ"
B,"ขอให้เธอมีวิสัยทัศน์มากขึ้นนะ ถ้ามีอะไรให้ช่วยก็บอกได้เสมอ","ขอให้ท่านมีวิสัยทัศน์มากขึ้นหนอ หากมีสิ่งใดให้ช่วยก็บอกได้เสมอ"
